# k P_{11} P_{nw} P_{m,LO}, P_{m,NLO}
9.920099999999999838e-04 3.815199999999999818e+03 3.813052062850885704e+03 3.815199936672734111e+03 3.815123399638377123e+03
1.006299999999999903e-03 3.866000000000000000e+03 3.863988537340722360e+03 3.865999938975559871e+03 3.865920136440639453e+03
1.020800000000000093e-03 3.917500000000000000e+03 3.915581875250352368e+03 3.917499940118197628e+03 3.917416735070824416e+03
1.035499999999999962e-03 3.969699999999999818e+03 3.967792795550815299e+03 3.969699938731964721e+03 3.969613192247555162e+03
1.050399999999999945e-03 4.022500000000000000e+03 4.020617632436441909e+03 4.022499937777114155e+03 4.022409500561791901e+03
1.065500000000000041e-03 4.075900000000000091e+03 4.074052704766727857e+03 4.075899937168228917e+03 4.075805654959043750e+03
1.080800000000000033e-03 4.130100000000000364e+03 4.128094258777965479e+03 4.130099929805765896e+03 4.130001654703052736e+03
1.096299999999999922e-03 4.184800000000000182e+03 4.182738515959656979e+03 4.184799925770855225e+03 4.184697490762466259e+03
1.112099999999999981e-03 4.240300000000000182e+03 4.238333171997473073e+03 4.240299927123167436e+03 4.240193129498752569e+03
1.128099999999999936e-03 4.296500000000000000e+03 4.294521455409525515e+03 4.296499924564420326e+03 4.296388596153461549e+03
1.144400000000000061e-03 4.353300000000000182e+03 4.351649552553307331e+03 4.353299935242161155e+03 4.353183845681858656e+03
1.160800000000000026e-03 4.410899999999999636e+03 4.409012521640686828e+03 4.410899923804120590e+03 4.410778946228576388e+03
1.177499999999999944e-03 4.469100000000000364e+03 4.467305873846778013e+03 4.469099925473751682e+03 4.468973813040853202e+03
1.194500000000000032e-03 4.528100000000000364e+03 4.526523367980449621e+03 4.528099932603578964e+03 4.527968440576742069e+03
1.211599999999999960e-03 4.587800000000000182e+03 4.585964186957337006e+03 4.587799919261458854e+03 4.587662898689862232e+03
1.229099999999999897e-03 4.648199999999999818e+03 4.646665852046890905e+03 4.648199930565498107e+03 4.648057060442428337e+03
1.246799999999999948e-03 4.709300000000000182e+03 4.707928146843181821e+03 4.709299936109752707e+03 4.709150998764042924e+03
1.264699999999999895e-03 4.771199999999999818e+03 4.769746766344688695e+03 4.771199930362438863e+03 4.771044709552740642e+03
1.282900000000000013e-03 4.833899999999999636e+03 4.832461571443426692e+03 4.833899929073802923e+03 4.833738140692945308e+03
1.301400000000000083e-03 4.897199999999999818e+03 4.896065820741001517e+03 4.897199942451267816e+03 4.897031275662262487e+03
1.320100000000000049e-03 4.961399999999999636e+03 4.960210069324504730e+03 4.961399937874848547e+03 4.961224157214825027e+03
1.339099999999999969e-03 5.026300000000000182e+03 5.025231619169763690e+03 5.026299942603698582e+03 5.026116723276772063e+03
