 # k, pm_lin, pm_lin_IR, pm_1loop_IR, pb1b2, pb1bG2, pb1bGamma3, pb22, pb2bg2, pbg22
 9.920100e-04 3.815200e+03 3.815200e+03 3.815123e+03 -5.644985e-02 -1.323803e-03 -4.849597e-01 -6.550855e-02 -1.609855e+00 6.261828e-03 
 1.006300e-03 3.866000e+03 3.866000e+03 3.865920e+03 -5.805625e-02 -1.402044e-03 -5.056695e-01 -6.740934e-02 -1.656532e+00 6.618530e-03 
 1.020800e-03 3.917500e+03 3.917500e+03 3.917417e+03 -5.970772e-02 -1.484921e-03 -5.272661e-01 -6.936558e-02 -1.704569e+00 6.995384e-03 
 1.035500e-03 3.969700e+03 3.969700e+03 3.969613e+03 -6.140401e-02 -1.572553e-03 -5.497698e-01 -7.137719e-02 -1.753963e+00 7.393145e-03 
 1.050400e-03 4.022500e+03 4.022500e+03 4.022410e+03 -6.314587e-02 -1.665282e-03 -5.732024e-01 -7.344532e-02 -1.804740e+00 7.812874e-03 
 1.065500e-03 4.075900e+03 4.075900e+03 4.075806e+03 -6.493414e-02 -1.763377e-03 -5.976054e-01 -7.557109e-02 -1.856930e+00 8.255656e-03 
 1.080800e-03 4.130100e+03 4.130100e+03 4.130002e+03 -6.676965e-02 -1.867081e-03 -6.230186e-01 -7.775565e-02 -1.910560e+00 8.722632e-03 
 1.096300e-03 4.184800e+03 4.184800e+03 4.184698e+03 -6.865319e-02 -1.976667e-03 -6.494566e-01 -8.000012e-02 -1.965661e+00 9.214986e-03 
 1.112100e-03 4.240300e+03 4.240300e+03 4.240193e+03 -7.059802e-02 -2.093216e-03 -6.771262e-01 -8.232059e-02 -2.022624e+00 9.737349e-03 
 1.128100e-03 4.296500e+03 4.296500e+03 4.296389e+03 -7.259288e-02 -2.216404e-03 -7.059057e-01 -8.470392e-02 -2.081128e+00 1.028790e-02 
 1.144400e-03 4.353300e+03 4.353300e+03 4.353184e+03 -7.465134e-02 -2.347405e-03 -7.359987e-01 -8.716657e-02 -2.141576e+00 1.087169e-02 
 1.160800e-03 4.410900e+03 4.410900e+03 4.410779e+03 -7.674890e-02 -2.484856e-03 -7.671600e-01 -8.967950e-02 -2.203254e+00 1.148287e-02 
 1.177500e-03 4.469100e+03 4.469100e+03 4.468974e+03 -7.891213e-02 -2.630898e-03 -7.997141e-01 -9.227501e-02 -2.266951e+00 1.213052e-02 
 1.194500e-03 4.528100e+03 4.528100e+03 4.527969e+03 -8.114484e-02 -2.786625e-03 -8.338152e-01 -9.495794e-02 -2.332797e+00 1.281914e-02 
 1.211600e-03 4.587800e+03 4.587800e+03 4.587663e+03 -8.341931e-02 -2.950137e-03 -8.691228e-01 -9.769537e-02 -2.399973e+00 1.354012e-02 
 1.229100e-03 4.648200e+03 4.648200e+03 4.648057e+03 -8.577633e-02 -3.124714e-03 -9.061501e-01 -1.005366e-01 -2.469693e+00 1.430784e-02 
 1.246800e-03 4.709300e+03 4.709300e+03 4.709151e+03 -8.819043e-02 -3.308983e-03 -9.446420e-01 -1.034515e-01 -2.541212e+00 1.511600e-02 
 1.264700e-03 4.771200e+03 4.771200e+03 4.771045e+03 -9.066247e-02 -3.503452e-03 -9.846593e-01 -1.064413e-01 -2.614565e+00 1.596644e-02 
 1.282900e-03 4.833900e+03 4.833900e+03 4.833738e+03 -9.320734e-02 -3.709756e-03 -1.026422e+00 -1.095245e-01 -2.690203e+00 1.686610e-02 
 1.301400e-03 4.897200e+03 4.897200e+03 4.897031e+03 -9.582642e-02 -3.928543e-03 -1.070007e+00 -1.127030e-01 -2.768178e+00 1.781763e-02 
 1.320100e-03 4.961400e+03 4.961400e+03 4.961224e+03 -9.850663e-02 -4.159259e-03 -1.115268e+00 -1.159615e-01 -2.848111e+00 1.881833e-02 
 1.339100e-03 5.026300e+03 5.026300e+03 5.026117e+03 -1.012634e-01 -4.403861e-03 -1.162511e+00 -1.193195e-01 -2.930476e+00 1.987606e-02 
 1.358300e-03 5.092000e+03 5.092000e+03 5.091809e+03 -1.040833e-01 -4.661785e-03 -1.211546e+00 -1.227608e-01 -3.014882e+00 2.098786e-02 
 1.377900e-03 5.158500e+03 5.158500e+03 5.158301e+03 -1.069972e-01 -4.936463e-03 -1.262901e+00 -1.263238e-01 -3.102266e+00 2.216855e-02 
 1.397700e-03 5.225800e+03 5.225800e+03 5.225593e+03 -1.099766e-01 -5.225958e-03 -1.316213e+00 -1.299744e-01 -3.191788e+00 2.340915e-02 
 1.417800e-03 5.293800e+03 5.293800e+03 5.293584e+03 -1.130390e-01 -5.533113e-03 -1.371804e+00 -1.337345e-01 -3.283991e+00 2.472070e-02 
 1.438200e-03 5.362700e+03 5.362700e+03 5.362475e+03 -1.161868e-01 -5.858923e-03 -1.429851e+00 -1.376085e-01 -3.378976e+00 2.610870e-02 
 1.458900e-03 5.432400e+03 5.432400e+03 5.432165e+03 -1.194193e-01 -6.203658e-03 -1.490318e+00 -1.415953e-01 -3.476721e+00 2.757376e-02 
 1.479900e-03 5.502800e+03 5.502800e+03 5.502555e+03 -1.227377e-01 -6.568958e-03 -1.553293e+00 -1.456980e-01 -3.577285e+00 2.911972e-02 
 1.501200e-03 5.574200e+03 5.574200e+03 5.573945e+03 -1.261435e-01 -6.955221e-03 -1.618901e+00 -1.499182e-01 -3.680729e+00 3.075068e-02 
 1.522800e-03 5.646300e+03 5.646300e+03 5.646034e+03 -1.296378e-01 -7.363867e-03 -1.687211e+00 -1.542586e-01 -3.787112e+00 3.247085e-02 
 1.544700e-03 5.719300e+03 5.719300e+03 5.719023e+03 -1.332220e-01 -7.796680e-03 -1.758331e+00 -1.587218e-01 -3.896495e+00 3.428456e-02 
 1.566900e-03 5.793100e+03 5.793100e+03 5.792812e+03 -1.368976e-01 -8.254468e-03 -1.832341e+00 -1.633104e-01 -4.008939e+00 3.619637e-02 
